matched_skills,similarity_score
Data engineering 3,0.16666666666666666
Data analytics 3,0.12727272727272726
Project management 7,0.12195121951219512
Network support 1,0.12195121951219512
Risk management 5,0.1111111111111111
Methods and tools 3,0.1111111111111111
Incident management 1,0.1111111111111111
Competency assessment 4,0.1111111111111111
Infrastructure operations 4,0.1076923076923077
Asset management 3,0.10526315789473684
Risk management 7,0.10526315789473684
Artificial intelligence (AI) and data ethics 6,0.10256410256410256
Infrastructure operations 3,0.10204081632653061
Infrastructure operations 1,0.1
Methods and tools 4,0.1
Methods and tools 5,0.1
Functional testing 2,0.1
