matched_skills
Accessibility and inclusion 6
Analytical classification and coding 6
Animation development 6
Application support 4
Artificial intelligence (AI) and data ethics 3
Artificial intelligence (AI) and data ethics 5
Artificial intelligence (AI) and data ethics 6
Asset management 2
Asset management 3
Asset management 5
Audit 4
Audit 7
Business administration 4
Business administration 5
Business modelling 3
Business process improvement 2
Business process improvement 3
Business process improvement 4
Business process improvement 5
Business process improvement 6
Business process improvement 7
Business situation analysis 3
Business situation analysis 6
Capacity management 4
Change control 6
Competency assessment 3
Competency assessment 5
Configuration management 4
Continuity management 3
Contract management 2
Cost management 4
Customer service support 2
Customer service support 6
Cybercrime investigation 2
Data analytics 3
Data analytics 4
Data engineering 3
Data management 2
Data science 4
Data visualisation 2
Database administration 3
Database administration 4
Database design 2
Delivery management 3
Delivery management 4
Deployment 4
Digital forensics 6
Employee experience 4
Employee experience 5
Enterprise and business architecture 5
Facilities management 2
Facilities management 3
Facilities management 4
Facilities management 6
Feasibility assessment 2
Governance 7
Graphic design 1
Graphic design 3
Graphic design 5
Hardware design 5
High-performance computing 5
Identity and access management 2
Information and data compliance 4
Information assurance 2
Information assurance 7
Information management 3
Information management 4
Information security 2
Information security 7
Information systems coordination 6
Information systems coordination 7
Infrastructure design 2
Infrastructure design 4
Infrastructure design 5
Infrastructure design 6
Infrastructure operations 1
Infrastructure operations 2
Infrastructure operations 3
Infrastructure operations 4
Knowledge management 4
Knowledge management 5
Learning and development management 7
Machine learning 2
Machine learning 4
Machine learning 5
Machine learning 6
Market research 3
Marketing campaign management 3
Marketing campaign management 4
Methods and tools 2
Methods and tools 6
Network support 1
Network support 3
Network support 4
Organisation design and implementation 3
Organisation design and implementation 5
Organisational capability development 6
Performance management 4
Performance management 5
"Portfolio, programme and project support 3"
"Portfolio, programme and project support 6"
Problem management 2
Product management 4
Professional development 4
Professional development 5
Professional development 6
Programme management 6
Programme management 7
Programming/software development 4
Project management 6
Project management 7
Radio frequency engineering 5
Records management 1
Records management 2
Records management 4
Release management 2
Resourcing 2
Risk management 5
Sales support 1
Sales support 2
Sales support 3
Sales support 4
Sales support 6
Security operations 3
Selling 3
Selling 4
Service acceptance 4
Service acceptance 6
Service level management 4
Service level management 6
Solution architecture 4
Solution architecture 5
Specialist advice 4
Specialist advice 5
Strategic planning 7
Subject formation 7
Supplier management 2
Sustainability 5
System software administration 2
Systems and software lifecycle engineering 3
Systems design 2
Systems development management 4
Systems development management 5
Systems installation and removal 2
Systems installation and removal 4
Systems installation and removal 5
Systems integration and build 3
Teaching 7
User experience analysis 2
User experience analysis 3
User experience design 2
Vulnerability assessment 3
Vulnerability assessment 4
Vulnerability research 4
Vulnerability research 5
